   -0.692815569736609072E+00   -0.180031698531257867E+01    0.163792840301165421E-01   -0.614724684049266507E+06   -0.599146350544150419E+01    1
   -0.798759630511090668E+00   -0.180806000578247139E+01   -0.715796617087341436E-02   -0.528442246305804700E+06   -0.599396350544151169E+01    1
   -0.846513598711553295E+00   -0.184869349848646736E+01   -0.542846505398578150E-01   -0.497157862652367214E+06   -0.599646350544151474E+01    1
   -0.822690156360818658E+00   -0.187959656760139171E+01   -0.726965192661299664E-03   -0.434187458417220740E+06   -0.599896350544151957E+01    1
   -0.896866603967567011E+00   -0.192828596368308647E+01   -0.769119416810284118E-01   -0.402250072887761809E+06   -0.600146350544151552E+01    1
   -0.968768309247418524E+00   -0.179179789999234651E+01   -0.221274901378976929E-01   -0.353913881742445286E+06   -0.600396350544151858E+01    1
   -0.965885058425103749E+00   -0.180709837787314820E+01   -0.247680994270769173E-01   -0.352103185999661335E+06   -0.600646350544151630E+01    1
   -0.866217869988424205E+00   -0.183951336347329719E+01    0.185303091103425077E-01   -0.351901890676438692E+06   -0.600896350544152469E+01    1
   -0.927063600250562225E+00   -0.191605115705789664E+01   -0.335015180172677507E-01   -0.349570616320898291E+06   -0.601146350544151886E+01    1
   -0.885128501575178084E+00   -0.179680128113759419E+01    0.212912696884418606E-01   -0.347931720345108595E+06   -0.601396350544150859E+01    1
   -0.898720446879029078E+00   -0.166343930854789912E+01    0.408159846839076246E-01   -0.340790580416578101E+06   -0.601646350544151520E+01    1
   -0.844082277497263833E+00   -0.197142290857548774E+01    0.717330673734195567E-02   -0.339056914219536528E+06   -0.601896350544151559E+01    1
   -0.706873497886412405E+00   -0.209387902855995156E+01    0.280615757756828288E-01   -0.330513872777855489E+06   -0.602146350544152753E+01    1
   -0.891119270879738967E+00   -0.181005894612648310E+01    0.229846000643112447E-01   -0.328262792590978206E+06   -0.602396350544153325E+01    1
   -0.936261706969937380E+00   -0.192259129305785459E+01   -0.141502986649464924E-01   -0.314723692083623784E+06   -0.602646350544152298E+01    1
