   -0.924339907904229929E+00   -0.190070401274860346E+01    0.183739500265396427E+00   -0.120492186551521712E+03
   -0.926253717026026324E+00   -0.189434528221847742E+01    0.144266213765210649E+00   -0.119825255804349894E+03
   -0.924105135594742388E+00   -0.191136586768022187E+01    0.151941248442670540E+00   -0.119569869473100354E+03
   -0.910461335189125309E+00   -0.191673802582628428E+01    0.160128656888898407E+00   -0.118966742700801134E+03
   -0.919988490666159509E+00   -0.190311735227964784E+01    0.188547188947795513E+00   -0.118625697914365929E+03
   -0.924379184112403607E+00   -0.189138756481756554E+01    0.194723397671303200E+00   -0.118531949578395952E+03
   -0.912777674000353922E+00   -0.191348748937539304E+01    0.154899209456799969E+00   -0.118531728791640518E+03
   -0.921288676553392860E+00   -0.188620360339241788E+01    0.204962416520234891E+00   -0.118453931691087774E+03
   -0.926288761218523216E+00   -0.188363403428918419E+01    0.192753950543549796E+00   -0.118225672816452928E+03
   -0.868521659415491087E+00   -0.186006980355990237E+01    0.253521210493923621E+00   -0.118130685040501703E+03
   -0.934956130164222188E+00   -0.188987471806870766E+01    0.156005415698903693E+00   -0.118085379014609856E+03
   -0.935161257280347491E+00   -0.188852146082127903E+01    0.145949615918700593E+00   -0.117965982008908881E+03
   -0.929560369710436318E+00   -0.189215738266313194E+01    0.178593052992931461E+00   -0.117918610056934838E+03
   -0.926242696062021365E+00   -0.189860244485881569E+01    0.178470251825134568E+00   -0.117916161650441779E+03
   -0.932225421622071004E+00   -0.189289350456077154E+01    0.165982445098388914E+00   -0.117830928235544022E+03
   -0.905194555471553697E+00   -0.189282675026119862E+01    0.220301549233478888E+00   -0.117795353142438856E+03
   -0.873028391133978343E+00   -0.190047611540956596E+01    0.234831729132352091E+00   -0.117590217598081367E+03
   -0.883604302604775849E+00   -0.186662310350940719E+01    0.244302007454345965E+00   -0.117552238318659249E+03
   -0.914263921532019963E+00   -0.188350168230195192E+01    0.215764185308763068E+00   -0.117501300708285584E+03
   -0.931831319725676566E+00   -0.190315223439909209E+01    0.126330016543356960E+00   -0.117477483914879997E+03
   -0.907692476286646288E+00   -0.190387103639406763E+01    0.192309080030346413E+00   -0.117364566406208070E+03
   -0.914486435935638053E+00   -0.191818331275000453E+01    0.155576395328830414E+00   -0.117356237672774540E+03
   -0.924258210997555230E+00   -0.189421853902149739E+01    0.164167828366194257E+00   -0.117285427079605029E+03
