39 0.001
      10.0000  1e-5  1e-6
      7.84760  1e-5  1e-6
      6.15850  1e-5  1e-6
      4.83290  1e-5  1e-6
      3.79270  1e-5  1e-6
      2.97640  1e-5  1e-6
      2.33570  1e-5  1e-6
      1.83300  1e-5  1e-6
      1.43840  1e-5  1e-6
      1.12880  1e-5  1e-6
     0.885870  1e-5  1e-6
     0.695190  1e-5  1e-6
     0.545560  1e-5  1e-6
     0.428130  1e-5  1e-6
     0.335980  1e-5  1e-6
     0.263670  1e-5  1e-6
     0.206910  1e-5  1e-6
     0.162380  1e-5  1e-6
     0.127430  1e-5  1e-6
     0.100000  1e-5  1e-6
    0.0784760  1e-5  1e-6
    0.0615850  1e-5  1e-6
    0.0483290  1e-5  1e-6
    0.0379270  1e-5  1e-6
    0.0297640  1e-5  1e-6
    0.0233570  1e-5  1e-6
    0.0183300  1e-5  1e-6
    0.0143840  1e-5  1e-6
    0.0112880  1e-5  1e-6
   0.00885870  1e-5  1e-6
   0.00695190  1e-5  1e-6
   0.00545560  1e-5  1e-6
   0.00428130  1e-5  1e-6
   0.00335980  1e-5  1e-6
   0.00263670  1e-5  1e-6
   0.00206910  1e-5  1e-6
   0.00162380  1e-5  1e-6
   0.00127430  1e-5  1e-6
   0.00100000  1e-5  1e-6
